Date (Y.YYY),Tdry (deg C),Tmax (deg C),Tmin (deg C),RainStd (mm),"White Christmas? (1=yes,0=no)",Precip?,Tmin freeze?,both?
1968.971,4.1,11.4,3.9,10.2,1,1,0,0
1968.974,8.7,11.2,3.6,0,1,0,0,0
1968.977,6.1,7.9,6.1,0,1,0,0,0
1968.98,2.6,4.9,1.3,17.8,1,1,0,0
1968.982,0.6,2.8,0.1,0,1,0,0,0
1968.985,-1.6,1.1,-3.1,0,1,0,1,0
1968.988,-1.7,1.1,-3.2,0,1,0,1,0
1968.99,-1.9,0.2,-3.4,0,1,0,1,0
1968.993,-0.6,1.1,-2.2,2.5,1,1,1,1
1968.996,0.7,1.8,-0.9,0,1,0,1,0
1969.971,9.1,11.3,1.1,7.6,1,1,0,0
1969.974,7.9,8.7,7.8,0,1,0,0,0
1969.977,4.4,8.1,2.2,0,1,0,0,0
1969.979,7.9,10.1,4.4,7.6,1,1,0,0
1969.982,6.2,6.3,6.1,0,1,0,0,0
1969.985,5.4,6.1,4.2,0,1,0,0,0
1969.988,3.7,6.1,2.8,0,1,0,0,0
1969.99,1.1,1.7,-0.9,0,1,0,1,0
1969.993,-1.1,1.1,-1.9,0,1,0,1,0
1969.996,1.1,2.1,-1.9,0,1,0,1,0
1969.999,-1.9,0.1,-2.2,0.3,1,1,1,1
1970.971,4.3,6.5,0.2,0,1,0,0,0
1970.974,1.8,4.1,-2.1,0,1,0,1,0
1970.977,2.9,6.1,2.7,33,1,1,0,0
1970.979,-0.8,1.3,-3.3,20.3,1,1,1,1
1970.982,-2.4,0.9,-3.9,20.3,1,1,1,1
1970.985,0.6,0.9,-4.4,71.1,1,1,1,1
1970.988,-2.2,0.8,-3.9,7.6,1,1,1,1
1970.99,0.6,2.2,-4,121.9,1,1,1,1
1970.993,1.1,1.9,0.1,167.6,1,1,0,0
1970.996,1.7,2.6,0,0,1,0,1,0
1970.999,-1.8,1.8,-3.4,0,1,0,1,0
1971.971,12.6,13.9,9.8,2.3,0,1,0,0
1971.974,8.8,11.8,8.7,7.1,0,1,0,0
1971.977,8.2,8.8,8.2,0,0,0,0,0
1971.979,5.5,9.6,2.2,0,0,0,0,0
1971.982,6.4,8.6,5.1,0.2,0,1,0,0
1971.985,7.5,9.3,6.1,0.1,0,1,0,0
1971.988,6.4,11,5.6,2.2,0,1,0,0
1971.99,3.9,5.6,3.8,0.2,0,1,0,0
1971.993,0.8,3.6,0.2,0,0,0,0,0
1971.996,2.3,3.9,0.6,0.1,1,1,0,0
1971.999,3.9,4.7,0.6,0,0,0,0,0
1972.971,1.9,2.5,0.7,0,0,0,0,0
1972.974,0.5,1.6,0.4,0,0,0,0,0
1972.977,1,4.5,0.2,0,0,0,0,0
1972.98,3.1,6.4,0.8,0,0,0,0,0
1972.982,6,7.3,1.3,0,0,0,0,0
1972.985,5.4,8.6,2.7,1.3,0,1,0,0
1972.988,8,11.1,5.3,0.9,0,1,0,0
1972.99,10,10,7.7,0,0,0,0,0
1972.993,5,9.6,4.5,0.2,0,1,0,0
1972.996,0,2.8,-0.5,0,0,0,1,0
1973.971,8.3,9,7.8,7.6,0,1,0,0
1973.974,4.9,8,4.3,8.8,0,1,0,0
1973.977,5.5,8.7,2.5,2.8,0,1,0,0
1973.979,4.3,5.4,3.1,0,0,0,0,0
1973.982,3,6.5,0.3,2.1,0,1,0,0
1973.985,6.5,10,1,0.1,0,1,0,0
1973.988,8.6,9.1,6.5,0,0,0,0,0
1973.99,8.7,10.1,8,0.2,0,1,0,0
1973.993,8.5,9.2,8.4,1.8,0,1,0,0
1973.996,7.9,7.9,7.6,1.3,0,1,0,0
1973.999,-2.1,5,-3,0,0,0,1,0
1974.971,11,11.2,9.5,1.6,0,1,0,0
1974.974,10,12.4,9.5,0.9,0,1,0,0
1974.977,10.8,12,9.6,0.3,0,1,0,0
1974.979,7,9.4,6.8,1.1,0,1,0,0
1974.982,7.2,12.9,1.7,7.6,0,1,0,0
1974.985,10.5,11.1,6.9,8.4,0,1,0,0
1974.988,8,14,7.1,2.8,0,1,0,0
1974.99,14,14,7.7,0.5,0,1,0,0
1974.993,10.9,11.3,10.5,0,0,0,0,0
1974.996,1.7,7.6,1,0,0,0,0,0
1974.999,7.6,8.9,1.7,0,0,0,0,0
1975.971,5.1,7.9,0,0,0,0,1,0
1975.974,6.5,8,5,0,0,0,0,0
1975.977,6,8,5.2,3.1,0,1,0,0
1975.979,3.4,8,3.1,0.4,0,1,0,0
1975.982,8,10.4,2,0,0,0,0,0
1975.985,8.6,10.5,4.5,0,0,0,0,0
1975.988,6,7.5,2.5,0,0,0,0,0
1975.99,7,8.2,5.8,0,0,0,0,0
1975.993,6,7.9,2.5,0,0,0,0,0
1975.996,7.2,10.2,5.6,0,0,0,0,0
1975.999,10.2,11,7,1.1,0,1,0,0
1976.971,2.9,7.4,2.5,0.1,0,1,0,0
1976.974,7.4,9.1,-1.2,0,0,0,1,0
1976.977,5.1,5.9,5,0,0,0,0,0
1976.98,4.2,5.5,2.5,0,0,0,0,0
1976.982,1.6,4.4,0.9,0,0,0,0,0
1976.985,1.1,4.7,-1,0,0,0,1,0
1976.988,2,4.8,0.8,2.6,0,1,0,0
1976.99,1,1.6,0.4,0,1,0,0,0
1976.993,-7.8,1.9,-8.4,0.1,0,1,1,1
1976.996,1.9,6.5,-8,6.6,0,1,1,1
1977.971,1,10.4,-0.1,2.7,0,1,1,1
1977.974,9.3,12.4,0.7,0.2,0,1,0,0
1977.977,12.4,14.2,9,1,0,1,0,0
1977.979,10.1,11.8,10,0,0,0,0,0
1977.982,8,9.2,7.5,1.4,0,1,0,0
1977.985,7,9.8,6.1,5.2,0,1,0,0
1977.988,3.5,6.5,3,0.7,0,1,0,0
1977.99,2.1,4.5,1.5,0,0,0,0,0
1977.993,2.5,8.4,1.4,0.1,0,1,0,0
1977.996,7.4,7.5,2.2,0.5,0,1,0,0
1977.999,5.5,8.8,4.4,0.4,0,1,0,0
1978.971,1.4,2.3,-1,6.7,1,1,1,1
1978.974,0.7,1,-0.3,0.1,0,1,1,1
1978.977,-0.4,9,-0.4,6.7,0,1,1,1
1978.979,9,9.5,-0.7,4.7,0,1,1,1
1978.982,3.8,10.1,2.6,8.4,0,1,0,0
1978.985,9.5,11.6,3.3,0.6,0,1,0,0
1978.988,8.2,10.3,7.5,6.2,0,1,0,0
1978.99,9,10.3,8,12.1,0,1,0,0
1978.993,8,10.4,7.1,8.4,0,1,0,0
1978.996,1.5,1.8,1.2,2.2,1,1,0,0
1978.999,-3.4,-2.2,-4.8,0,1,0,1,0
1979.971,2.4,3.9,1.2,0.2,1,1,0,0
1979.974,1.1,2.2,-1.5,0.3,1,1,1,1
1979.977,1.8,2.3,0.8,0.3,1,1,0,0
1979.979,2.2,5.4,-0.3,0,0,0,1,0
1979.982,-3.4,6,-5,0.1,0,1,1,1
1979.985,4.1,7.2,-3.8,6.2,0,1,1,1
1979.988,6.4,11.6,2.7,22.1,0,1,0,0
1979.99,4.3,6.9,2.1,0,0,0,0,0
1979.993,2.1,5.9,1.7,0,0,0,0,0
1979.996,0.5,4.8,-0.7,0,0,0,1,0
1979.999,0.5,3.9,-1.2,0.1,0,1,1,1
1980.971,3.4,9.2,2,0.2,0,1,0,0
1980.974,9.2,11.9,2,0,0,0,0,0
1980.977,11.9,12.8,8.5,0,0,0,0,0
1980.98,11,11.2,9.2,0.5,0,1,0,0
1980.982,7,8.2,5.6,0,0,0,0,0
1980.985,2.3,5.8,1.5,2,0,1,0,0
1980.988,0.5,4.5,-0.2,0,0,0,1,0
1980.99,2,8.7,-2,0,0,0,1,0
1980.993,8,9.6,1.5,0,0,0,0,0
1980.996,8.5,9.1,7.6,0,0,0,0,0
1981.971,0.6,0.7,0.3,5.7,1,1,0,0
1981.974,-0.6,-0.1,-1,0,1,0,1,0
1981.977,-3.8,0.4,-7,0,0,0,1,0
1981.979,-0.9,0.6,-4.7,0,0,0,1,0
1981.982,-3.4,2.5,-4.5,0,0,0,1,0
1981.985,0,2.8,-5.4,0.1,0,1,1,1
1981.988,0.7,3.2,-0.7,0.9,1,1,1,1
1981.99,3.2,4,0.2,9.8,0,1,0,0
1981.993,3.2,9.4,2.7,5.2,1,1,0,0
1981.996,9.4,9.6,2.7,0,1,0,0,0
1981.999,2.5,8.9,1.9,2.9,0,1,0,0
1982.971,5.4,6.9,3.7,0.6,0,1,0,0
1982.974,-0.5,3.5,-1.6,0,0,0,1,0
1982.977,-2,7.6,-4.2,2.3,0,1,1,1
1982.979,7.6,9.5,-2.3,0,0,0,1,0
1982.982,9.1,10,5.4,0,0,0,0,0
1982.985,8.1,10.6,7.9,0,0,0,0,0
1982.988,8,9.2,7.2,0,0,0,0,0
1982.99,2.6,7.4,1.7,0,0,0,0,0
1982.993,4,7.4,1,0,0,0,0,0
1982.996,5.5,6.5,3.5,0,0,0,0,0
1982.999,4.6,8.4,2.6,0,0,0,0,0
1983.971,6.8,8.8,6.3,1.9,0,1,0,0
1983.974,8.4,11.6,4.4,1.2,0,1,0,0
1983.977,8.8,12.2,6.7,3.1,0,1,0,0
1983.979,11.9,12.7,8.5,0.6,0,1,0,0
1983.982,10.3,12.1,10.2,0.5,0,1,0,0
1983.985,6.7,11.6,6.3,0,0,0,0,0
1983.988,11.6,12.5,4.2,0,0,0,0,0
1983.99,10.8,10.8,10.4,0,0,0,0,0
1983.993,7,7.4,6.5,0,0,0,0,0
1983.996,5,7.7,3.9,0,0,0,0,0
1983.999,4.1,9.9,1,0,0,0,0,0
1984.971,3,7.2,2.4,0,0,0,0,0
1984.974,3,11.2,-1,4,0,1,1,1
1984.977,11.2,11.8,3,3.1,0,1,0,0
1984.98,6.4,6.4,6.3,0.9,0,1,0,0
1984.982,1.8,7.6,-0.9,5.2,0,1,1,1
1984.985,-0.4,5.3,-1.2,0,0,0,1,0
1984.988,1.2,5.3,-0.7,0,0,0,1,0
1984.99,-0.5,1.7,-0.8,0,0,0,1,0
1984.993,-1.9,5.6,-2.2,4.6,0,1,1,1
1984.996,5.6,7,-1.9,1.4,0,1,1,1
1985.971,10.8,12.5,9.4,3.6,0,1,0,0
1985.974,10.3,10.4,9.2,5.6,0,1,0,0
1985.977,7,10.1,5.2,8.1,0,1,0,0
1985.979,9.1,10.7,6.4,2.3,0,1,0,0
1985.982,6.2,8.1,5.2,24.9,0,1,0,0
1985.985,5.7,5.7,5.4,2,0,1,0,0
1985.988,1.9,3.1,1.5,0,0,0,0,0
1985.99,-5,-0.5,-6.8,0,0,0,1,0
1985.993,-3.4,0.3,-5.9,0,0,0,1,0
1985.996,-4.7,4.8,-6.2,0,0,0,1,0
1985.999,4,4,-4.7,0.1,0,1,1,1
1986.971,1.2,3.8,0.2,1.9,1,1,0,0
1986.974,1,3,0.3,0,0,0,0,0
1986.977,2.1,4.8,0,0,0,0,1,0
1986.979,0,8.9,-0.3,6,0,1,1,1
1986.982,8.9,10.1,-0.2,3.7,0,1,1,1
1986.985,2.7,6.1,1.4,0,0,0,0,0
1986.988,2.7,8.4,1.1,0,0,0,0,0
1986.99,8.4,10.6,2.5,0,0,0,0,0
1986.993,9.5,11.5,7.8,1.7,0,1,0,0
1986.996,10.8,11.5,9.3,5.9,0,1,0,0
1986.999,9.3,10,6.9,10.9,0,1,0,0
1987.971,8.8,11,8.5,0,0,0,0,0
1987.974,3.4,9.1,2.9,0,0,0,0,0
1987.977,3.9,5.4,1,0.2,0,1,0,0
1987.979,5.4,10.1,3.1,0.4,0,1,0,0
1987.982,6.5,10,5.4,0.1,0,1,0,0
1987.985,10,11,4.5,1.5,0,1,0,0
1987.988,10.7,12.6,10,0,0,0,0,0
1987.99,11.6,12.4,10.6,0.3,0,1,0,0
1987.993,12,12.7,11.6,1.7,0,1,0,0
1987.996,8.1,11.9,7.2,4.9,0,1,0,0
1987.999,9.5,11.2,8.1,0,0,0,0,0
1988.971,10.2,11.6,4.5,0,0,0,0,0
1988.974,9.8,11.4,9,0,0,0,0,0
1988.977,10.2,12.7,9.4,0,0,0,0,0
1988.98,12.1,13.2,8.7,0,0,0,0,0
1988.982,10.6,11.6,7.8,0,0,0,0,0
1988.985,11.5,13.1,10.1,1.1,0,1,0,0
1988.988,7.5,11.7,5.9,0,0,0,0,0
1988.99,11.1,12.5,7.4,0,0,0,0,0
1988.993,8.2,9.6,5.8,0,0,0,0,0
1988.996,5.7,8,4.4,0,0,0,0,0
1989.971,11.2,13.3,9.6,2.9,0,1,0,0
1989.974,7.6,8.2,7.2,0,0,0,0,0
1989.977,7.4,11.8,3.1,4.4,0,1,0,0
1989.979,11.7,12.2,4.6,11.4,0,1,0,0
1989.982,9.5,11.6,8.9,3.5,0,1,0,0
1989.985,4.6,7.2,3,0,0,0,0,0
1989.988,4.6,7.6,3.7,0,0,0,0,0
1989.99,6.2,6.3,4.6,0,0,0,0,0
1989.993,4.5,4.7,4.3,0,0,0,0,0
1989.996,3.8,4.1,3.3,0,0,0,0,0
1989.999,3.2,4,2.7,0,0,0,0,0
1990.971,8.9,11.1,3.9,0.5,0,1,0,0
1990.974,9.7,10.5,8.8,0,0,0,0,0
1990.977,9.1,9.2,8.5,2,0,1,0,0
1990.979,7.6,9.5,7.6,3.4,0,1,0,0
1990.982,7.6,9.5,2.9,11.4,0,1,0,0
1990.985,7.4,13.2,3.2,6.3,0,1,0,0
1990.988,4.1,6.6,3.4,0,0,0,0,0
1990.99,6.2,11.4,2.5,6.6,0,1,0,0
1990.993,8.3,8.3,6,6.6,0,1,0,0
1990.996,3.7,9.1,2.9,0,0,0,0,0
1990.999,6.9,9.1,3.6,1.4,0,1,0,0
1991.971,9.5,13,3.5,1.1,0,1,0,0
1991.974,12.4,12.8,9,0,0,0,0,0
1991.977,12.2,12.4,11.7,0.2,0,1,0,0
1991.979,3.4,7.3,2.7,0,0,0,0,0
1991.982,0.5,8.9,-1.1,0,0,0,1,0
1991.985,8.9,11.1,0.5,0,0,0,0,0
1991.988,3.9,8.5,3.4,0,0,0,0,0
1991.99,2.1,6.5,0.2,0,0,0,0,0
1991.993,6,7.6,2.1,0,0,0,0,0
1991.996,5.7,7.6,5.2,0,0,0,0,0
1991.999,5.6,8.8,4.9,0,0,0,0,0
1992.971,-0.6,4.8,-1.6,0,0,0,1,0
1992.974,1.4,5.1,-1,0,0,0,1,0
1992.977,-2.5,2.4,-3.2,0,0,0,1,0
1992.98,-3.5,2.9,-4,0,1,0,1,0
1992.982,2.9,4.4,-3.6,0,0,0,1,0
1992.985,4,4.9,2.8,0,0,0,0,0
1992.988,4.5,6.1,3.6,0,0,0,0,0
1992.99,1.1,4.9,0.6,0,0,0,0,0
1992.993,-3.1,2.1,-4.9,0,0,0,1,0
1992.996,-2.8,1.9,-6.6,0,0,0,1,0
1993.971,1.6,6.1,1.6,0.4,0,1,0,0
1993.974,6.1,8.5,1.5,4.3,0,1,0,0
1993.977,4.1,6.5,2.5,0.8,0,1,0,0
1993.979,3.3,4,1.9,0,0,0,0,0
1993.982,0.1,3.5,-0.1,0,0,0,1,0
1993.985,-0.6,2.3,-1,0,0,0,1,0
1993.988,-2.2,3.5,-2.9,3.1,0,1,1,1
1993.99,3.5,10,-2.5,1.4,0,1,1,1
1993.993,10,11,3.5,3,0,1,0,0
1993.996,8,8.2,5.1,8.4,0,1,0,0
1993.999,6.1,7.5,4.3,0.2,0,1,0,0
1994.971,3.1,4.1,0.8,0,0,0,0,0
1994.974,-0.5,5.2,-1.6,0,0,0,1,0
1994.977,-4,-1.5,-4.4,0,1,0,1,0
1994.979,-4.2,5.5,-5.4,0.1,0,1,1,1
1994.982,5.1,9.5,-4.2,1.8,0,1,1,1
1994.985,4.9,12.1,4,2.8,0,1,0,0
1994.988,12.1,13,4.6,2.9,0,1,0,0
1994.99,13,13.9,12,11.8,0,1,0,0
1994.993,10.2,11.5,9.6,9.7,0,1,0,0
1994.996,6.1,8,5.8,1.8,0,1,0,0
1994.999,3.9,6.6,3.4,0,0,0,0,0
1995.971,0.8,12,0.5,14.8,1,1,0,0
1995.974,11.9,12.5,0.6,5.5,0,1,0,0
1995.977,5.5,5.5,5.5,5.1,0,1,0,0
1995.979,3.1,4.2,2.9,0,0,0,0,0
1995.982,-1,3.3,-1.2,0,0,0,1,0
1995.985,-3.2,1.4,-3.7,0,0,0,1,0
1995.988,-1.3,0,-3.4,0,0,0,1,0
1995.99,-3,-0.9,-3.2,0,0,0,1,0
1995.993,-4.4,2.1,-5.6,0,0,0,1,0
1995.996,-1.4,2.1,-3.7,13.5,0,1,1,1
1995.999,2.1,3.1,-1.4,0.2,0,1,1,1
1996.971,2.2,3.1,2.1,0,0,0,0,0
1996.974,2.4,5.4,1.8,0,0,0,0,0
1996.977,1.6,4,1.1,0,0,0,0,0
1996.98,-0.5,2,-1,0.1,0,1,1,1
1996.982,1.2,5.4,-0.7,0,1,0,1,0
1996.985,-3,2,-4.2,0.2,1,1,1,1
1996.988,-0.5,3.8,-3.5,0.4,1,1,1,1
1996.99,1,1.6,-0.7,0,0,0,1,0
1996.993,-2.4,3.5,-3.5,0.2,0,1,1,1
1996.996,1.5,2.6,-2.5,0,1,0,1,0
1997.971,5.5,5.6,5.2,0,0,0,0,0
1997.974,5.6,8.1,3.7,5.7,0,1,0,0
1997.977,8.1,13.2,5.5,2.4,0,1,0,0
1997.979,12.5,13.7,7.9,6,0,1,0,0
1997.982,10.6,12.2,8,5.5,0,1,0,0
1997.985,7.1,9.7,7,0,0,0,0,0
1997.988,4.9,8.7,3.9,0,0,0,0,0
1997.99,2,6.9,0.4,0.4,0,1,0,0
1997.993,2.2,9.1,-0.3,1.1,0,1,1,1
1997.996,9.1,11.7,1.9,3.7,0,1,0,0
1997.999,6.1,9.2,5.7,3.3,0,1,0,0
1998.971,-1,6,-2.8,0.4,0,1,1,1
1998.974,4,9.7,-1.3,0.5,0,1,1,1
1998.977,8.9,8.6,3.8,8,0,1,0,0
1998.979,0.5,11.4,-0.2,2,0,1,1,1
1998.982,11.4,11.9,0.2,9.4,0,1,0,0
1998.985,7.2,13,0.1,7.9,0,1,0,0
1998.988,7.9,9.4,6.8,0.3,0,1,0,0
1998.99,5.8,8,5.5,0,0,0,0,0
1998.993,6.9,11.3,1.9,0,0,0,0,0
1998.996,11.2,12.1,6.7,1.5,0,1,0,0
1998.999,8,9.9,7.9,1.2,0,1,0,0
1999.971,2.3,6.5,-6.4,0,0,0,1,0
1999.974,6.5,11.9,2,10.3,0,1,0,0
1999.977,5.5,11,4.1,17.3,0,1,0,0
1999.979,9.9,12.6,4.4,16.5,0,1,0,0
1999.982,4.9,6.3,4.3,7.2,1,1,0,0
1999.985,4.4,8.8,1.2,3.9,0,1,0,0
1999.988,2.1,3.9,0.8,1,0,1,0,0
1999.99,2.2,4.6,1.5,0,0,0,0,0
1999.993,1,6.2,-1.4,1.6,0,1,1,1
1999.996,3,7.7,0.4,6.7,0,1,0,0
1999.999,4.5,8.5,2.6,2,0,1,0,0
2000.971,6.3,6.5,5.7,0,0,0,0,0
2000.974,4.2,5.4,3.4,0,0,0,0,0
2000.977,3.1,6.2,1.9,0.7,0,1,0,0
2000.98,6.2,6.3,2.5,6.2,0,1,0,0
2000.982,3.6,4.1,3,0,0,0,0,0
2000.985,0.9,1.9,-0.2,0,0,0,1,0
2000.988,1.4,2.2,0.2,3,1,1,0,0
2000.99,-1.2,1.7,-3.3,0,0,0,1,0
2000.993,-5.1,0.4,-6.4,0,0,0,1,0
2000.996,-1.4,2.5,-6,0,0,0,1,0
2001.971,4.8,8.1,-2,0,0,0,1,0
2001.974,0.6,2.6,-1.7,0,0,0,1,0
2001.977,-3,5.9,-4.9,0.6,0,1,1,1
2001.979,5.9,9.1,-4,0,0,0,1,0
2001.982,5.8,5.6,4.9,1.8,0,1,0,0
2001.985,-0.1,5.8,-2.3,0.5,0,1,1,1
2001.988,5.8,9.2,-1.5,0,0,0,1,0
2001.99,7.8,7.5,4.5,0.2,0,1,0,0
2001.993,1.3,2.8,0.1,0.1,0,1,0,0
2001.996,0.6,4.6,-2.7,0,0,0,1,0
2001.999,-2.1,3.9,-3.3,0,0,0,1,0
2002.971,6.5,11.7,2.6,19.1,0,1,0,0
2002.974,11,12.7,6.3,0.1,0,1,0,0
2002.977,10.5,12.2,8.9,1.9,0,1,0,0
2002.979,12.1,12.9,10.4,2.6,0,1,0,0
2002.982,7.9,11.6,7.4,6.4,0,1,0,0
2002.985,10,12.5,7.6,9.5,0,1,0,0
2002.988,11,11.8,9.5,1.1,0,1,0,0
2002.99,8.5,11.3,8.1,9.5,0,1,0,0
2002.993,8.5,13,5.9,3,0,1,0,0
2002.996,10.9,11.2,8.4,25.5,0,1,0,0
2002.999,5,11,4.7,14.2,0,1,0,0
2003.971,5.7,7.1,3.8,0.3,0,1,0,0
2003.974,0.5,5.5,-0.1,3.3,0,1,1,1
2003.977,5.5,9.6,0.6,2.7,0,1,0,0
2003.979,9.2,9.6,3.7,0,0,0,0,0
2003.982,9.1,10.8,8.9,0.3,0,1,0,0
2003.985,9.4,10.8,8.8,2.2,0,1,0,0
2003.988,3.9,7.4,2.6,2.4,0,1,0,0
2003.99,2.5,5.5,2.4,4.3,0,1,0,0
2003.993,2.3,3,1.6,5,0,1,0,0
2003.996,2.6,3.6,1.6,1.6,0,1,0,0
2003.999,1.7,5.4,-0.2,5.3,0,1,1,1
2004.971,1.9,7.7,-1,4.6,0,1,1,1
2004.974,7.6,11.9,0.4,0.1,0,1,0,0
2004.977,10.6,12.5,7.6,0,0,0,0,0
2004.98,7,10.3,7,0.9,0,1,0,0
2004.982,0.5,4.2,0.3,0,0,0,0,0
2004.985,-2,4,-2.2,0,0,0,1,0
2004.988,-2.1,8.1,-2.7,9.9,0,1,1,1
2004.99,2.8,7,-2.1,0,1,0,1,0
2004.993,2,11,1.6,0,0,0,0,0
2004.996,10.5,13.2,2,0,0,0,0,0
2005.971,7,8.9,1.8,0,0,0,0,0
2005.974,3.7,10.5,3,0,0,0,0,0
2005.977,8,9.7,3.7,0,0,0,0,0
2005.979,5.9,11,3.4,0,0,0,0,0
2005.982,2.9,6.5,1.1,0,0,0,0,0
2005.985,3,5.5,-1,0,0,0,1,0
2005.988,0.5,2.7,-0.3,0,0,0,1,0
2005.99,-2,1.4,-2.2,0,0,0,1,0
2005.993,-1.4,2.9,-2,3.6,0,1,1,1
2005.996,2.3,9.5,-1.5,11.2,0,1,1,1
2005.999,6.8,8.7,2.3,0.7,0,1,0,0
2006.971,-0.6,0.1,-1.5,0,0,0,1,0
2006.974,-1.5,0.9,-2,0,0,0,1,0
2006.977,0.9,4.7,-1.1,0,0,0,1,0
2006.979,4.7,6.2,0.9,0,0,0,0,0
2006.982,5.9,6,4.9,0,0,0,0,0
2006.985,4.5,6.1,4.5,0.1,0,1,0,0
2006.988,4.1,10.2,3.9,0.2,0,1,0,0
2006.99,9,11.2,4.2,0,0,0,0,0
2006.993,7.5,13.1,5.3,17.1,0,1,0,0
2006.996,10.4,12.6,7.7,11.3,0,1,0,0
2006.999,9.4,12.4,7.8,7.2,0,1,0,0
2007.971,0.7,4,-3.5,0,0,0,1,0
2007.974,-0.7,6.4,-1.9,0.5,0,1,1,1
2007.977,-2.1,8,-3.1,0.1,0,1,1,1
2007.979,7.9,10.2,-2.3,8,0,1,1,1
2007.982,8.9,9.3,7.9,3.3,0,1,0,0
2007.985,3.8,11.3,2.3,0.1,0,1,0,0
2007.988,11,12.5,3.9,0,0,0,0,0
2007.99,10.2,11.4,9.5,4.4,0,1,0,0
2007.993,5,8.9,4.5,0,0,0,0,0
2007.996,4.5,9.7,4.1,0,0,0,0,0
2007.999,5.4,8.4,4.2,0,0,0,0,0
2008.971,10.4,11.6,9.6,0,0,0,0,0
2008.974,10.2,12.4,9.6,0,0,0,0,0
2008.977,9,9.3,8.5,0.1,0,1,0,0
2008.98,7.2,7.6,7,0,0,0,0,0
2008.982,5.6,7.5,5.3,0,0,0,0,0
2008.985,1.9,4.9,1.9,0,0,0,0,0
2008.988,0.6,2.8,-0.1,0,0,0,1,0
2008.99,1.4,3.5,0.5,0,0,0,0,0
2008.993,-0.5,2.9,-1,0,0,0,1,0
2008.996,-1.1,2.5,-4.8,0,0,0,1,0
2009.971,-3.5,0.7,-5.5,19.8,1,1,1,1
2009.974,-1,0.5,-3.5,0,0,0,1,0
2009.977,-5.6,3.3,-7.1,13.4,1,1,1,1
2009.979,2.5,4,-5.8,0.4,1,1,1,1
2009.982,1.1,8.4,0.9,2.1,0,1,0,0
2009.985,5.6,8.9,1,0.4,0,1,0,0
2009.988,5.3,7.7,4,0,0,0,0,0
2009.99,-2.6,5.5,-3.6,0.8,0,1,1,1
2009.993,3.7,4.2,-3,13.5,0,1,1,1
2009.996,3.7,4.6,2.8,3.5,0,1,0,0
2009.999,3,4.2,2.5,0.2,0,1,0,0
2010.971,0,1.1,-5.9,0,0,0,1,0
2010.974,0.2,1.2,-0.2,0,0,0,1,0
2010.977,0,2,-2,0,0,0,1,0
2010.979,-0.8,1,-2.3,0,0,0,1,0
2010.982,-2,0.5,-2.5,0,0,0,1,0
2010.985,-5.9,3.3,-6.5,0,0,0,1,0
2010.988,3.1,4.4,-6.1,8.6,0,1,1,1
2010.99,3.9,7.2,2.5,0.8,0,1,0,0
2010.993,6.2,8.5,3.6,0.8,0,1,0,0
2010.996,5.9,6.7,5.9,0,0,0,0,0
2010.999,4.8,6.6,4,0,0,0,0,0
